ReviewText,ReviewDate,ReviewAuthor,ReviewStarRating,Review Link
"I just got the chance to sit in one of my uncle's Kia Seltos and what can I say I was just trying to find any flaws but I couldn't. Everything is so perfect in this price bracket that you can't imagine this level of comfort and quality in a car, I just loved it."," Nov 25, 2019 ",By Abhishek Gupta,5.0,https://www.cardekho.com/user-review/kia-seltos/east-or-west-kia-seltos-is-the-best-94539.htm
KIA Seltos is completely spacious and is a smooth experience. It is worth 12 lakhs and is simply amazing. Seltos comes with a touch screen music panel and is quite good in function. Good mileage and pick up.," Nov 26, 2019 ",By Kushal Songh,5.0,https://www.cardekho.com/user-review/kia-seltos/best-in-class-vehicle-94608.htm
"Great Car
KIA Seltos is a very nice car with the great built quality and lots of amazing features. The driving is also very comfortable on any kind of road."," Nov 26, 2019 ",By Rohit,5.0,https://www.cardekho.com/user-review/kia-seltos/great-car-94600.htm
"Best Car
Excellent to drive and comfortable, features are excellent. Best in the segment. Overall, Value for money car."," Nov 26, 2019 ",By Rajil,5.0,https://www.cardekho.com/user-review/kia-seltos/best-car-94587.htm
"Excellent Car
This car is excellent in driving and features are amazing. The front of the car is very attractive and the full LED looks amazing at night."," Nov 26, 2019 ",By Sunny Mighty,5.0,https://www.cardekho.com/user-review/kia-seltos/excellent-car-94578.htm
"I have purchased KIA Seltos HTK Petrol last month, and I am fully satisfied with the my Seltos. The overall performance of the car is amazing in terms of driving experience, infotainment system, build and at last the mileage of Kia Seltos. I have almost driven 1700 KM and average coming 15KMPL in the city, and goes 20KMPL on highways. So, I am highly satisfied with my KIA Seltos."," Nov 26, 2019 ",By Gagan Kanojia,5.0,https://www.cardekho.com/user-review/kia-seltos/satisfactory-performance-of-kia-seltos-94575.htm
"Superb Car
The design of this car is very nice. Bose speakers are of nice quality and the sound is excellent, sunroof is an add on with very nice alloys in the top model. "," Nov 26, 2019 ",By Aarti Gupta,5.0,https://www.cardekho.com/user-review/kia-seltos/superb-car-94572.htm
"Super budget SUV car
Kia Seltos is one of the good specific SUV in economic range of budget. It is a more functional car compared to other cars."," Nov 25, 2019 ",By Chitrang Shah,4.0,https://www.cardekho.com/user-review/kia-seltos/super-budget-suv-car-94541.htm
"A perfect car - Kia Seltos
Kia Seltos is a perfect car. Its design, looks, features and build quality are so excellent. Especially for our Indian roads feels so comfortable and the mileage what the car is offering is just awesome and the performance is just fantastic. The beautiful things are LED and the DRLs design, UVO Connected car - KIA(Know It All), ventilated seats, sm...Read More"," Nov 25, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/kia-seltos/a-perfect-car-kia-seltos-94522.htm
"Best car
Good looking car and the ground clearance is sufficient as compared to other cars as it is very important for the driving experience."," Nov 25, 2019 ",By Rohit Singh Sikarwar,4.0,https://www.cardekho.com/user-review/kia-seltos/best-car-94531.htm
"Good looking car
Excellent car with good suspension and a great car for long drives. The mileage is ok for the city drive. You can buy this car with closed eyes."," Nov 25, 2019 ",By Snair,5.0,https://www.cardekho.com/user-review/kia-seltos/good-looking-car-94524.htm
"Perfect car
It's a wonderful car. All features are good and you will feel like a plane. I am very satisfied with this car. It runs very smoothly without any bounces on off-roads. The driving experience is awesome. Read More"," Nov 25, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/kia-seltos/perfect-car-94496.htm
"Kia Seltos - Great car
It's a great car with excellent features. Looks are also awesome. All accessories are comfortable and safe."," Nov 25, 2019 ",By Vikas Kumar,5.0,https://www.cardekho.com/user-review/kia-seltos/kia-seltos-great-car-94518.htm
This car is very good. Fully loaded with all features and comfort. The space is excellent. This car looks like a high-level car. I referred to all to take the test drive and share your experience. The car is very safe and very solid.," Nov 25, 2019 ",By Anonymous,5.0,https://www.cardekho.com/user-review/kia-seltos/awesome-car-kia-seltos-94517.htm
"Choice to good one
I think it the best SUV ever launched, value for money, attractive colors, full options and good mileage than other cars."," Nov 25, 2019 ",By Melwin Dsouza,5.0,https://www.cardekho.com/user-review/kia-seltos/choice-to-good-one-94509.htm
"Nice car
Very nice car, powerful engine, looks very stylish among all cars and its a new concept car."," Nov 24, 2019 ",By Vikram,5.0,https://www.cardekho.com/user-review/kia-seltos/nice-car-94462.htm
"Awesome car of this year
I have Kia Seltos GTX Plus in red color. It has awesome looks, superb interiors, a good loud music system and ample space."," Nov 24, 2019 ",By Aditya,5.0,https://www.cardekho.com/user-review/kia-seltos/awesome-car-of-this-year-94461.htm
"Its drive is very smooth and comfortable. The car gives very good mileage. It is best in all its rivals. Its price is best compared to other cars according to looks and features. It is among the best cars in this segment. It can be compared to other luxurious cars in India. The car is excellent for off-roading, city drives and long drives with the family."," Nov 24, 2019 ",By Deepanshu Balyan,5.0,https://www.cardekho.com/user-review/kia-seltos/sensible-features-with-easy-controls-94448.htm
"Definition of perfection
Perfect car in this price range. Not a single car in this price range has ventilated seats. BOSE speakers are awesome too."," Nov 23, 2019 ",By Mayur Prajapati,4.0,https://www.cardekho.com/user-review/kia-seltos/definition-of-perfection-94385.htm
"It is a car with a master body and a powerful engine The transmission is smooth and the parking position is super and tyres are super smooth and the seats are very good. It's not just a machine, it is the master of all machines and this is the first Kia car in India. One important thing is that the body design is fantastic and in night light visibility is super. It comes with DRLs and the BOSE music system is awesome. The AC is super cool and the speedometer is awesome."," Nov 23, 2019 ",By User,5.0,https://www.cardekho.com/user-review/kia-seltos/master-machine-kia-seltos-94384.htm
"For a car, at this price, it is definitely a good deal. Got the automatic 1.4-liter Petrol variant and let me tell you it's a charm to drive this beauty. The gear shift is ever so smooth and linear power delivery makes it good to ride."," Nov 23, 2019 ",By Nkpsinha,5.0,https://www.cardekho.com/user-review/kia-seltos/go-grab-your-kia-seltos-94382.htm
"I like the design of this car, it is unique and the key factor is the quality and overall features they provide. The features they provide are the ones that you see only in those high budget cars."," Nov 23, 2019 ",By Abhishek Tyagi,4.0,https://www.cardekho.com/user-review/kia-seltos/worth-a-purchase-94378.htm
"Awesome Car
Really a great car that I want to buy. Especially Top-Spec GTI (DCT) version in which the performance of the engine is top-notch. The 10-inch Infosystem and 1.4 Litre turbocharged petrol engine with 140 BHP of power gives a performance of the luxury car and its features without spending 30 Lakhs go for it. Even DRL's design is looking phenomenal. Read More"," Nov 23, 2019 ",By Gautham Candy,5.0,https://www.cardekho.com/user-review/kia-seltos/awesome-car-94357.htm
"Best car in this segment
Best under in this segment. The handling is superb and features are top end. The exterior looks very impressive and the interior is also rich in class. I must prefer this car in the place of other cars under this range. The seats are best in class and luxurious. This is my first car and I am happy with it. Read More"," Nov 24, 2019 ",By Shivam Dubey,5.0,https://www.cardekho.com/user-review/kia-seltos/best-car-in-this-segment-94425.htm
"Not bad... Seltos better than MG Hector
Still, we have to see the Seltos performance but not bad and boot space is less and for less amount, the car gives more specification."," Nov 23, 2019 ",By Anonymous,3.0,https://www.cardekho.com/user-review/kia-seltos/not-bad-seltos-better-than-mg-hector-94365.htm
"Kia Seltos - The generation car
The front look (tiger-nose) is amazing. Riding quality is ok. The rear seat is comfortable and the connectivity is fine."," Nov 24, 2019 ",By Ponraj Madasamy,5.0,https://www.cardekho.com/user-review/kia-seltos/kia-seltos-the-generation-car-94443.htm
"As Kia is new to India, it is taking time for sales but it is superb in performance with stunning design for Indian roads, wonderful interior and reliving mileage so its a perfect SUV."," Nov 24, 2019 ",By Saibalu,5.0,https://www.cardekho.com/user-review/kia-seltos/a-perfect-suv-94439.htm
"I like Kia Seltos
This Compact SUV is better than other cars. It is one of my favorite cars and a dream car. The car price is also affordable."," Nov 23, 2019 ",By Rabindra Seth,5.0,https://www.cardekho.com/user-review/kia-seltos/i-like-kia-seltos-94396.htm
"It is a worthy BEAST
The things that are most fascinating and important:- 1. Performance - The Kia Seltos has a very enthusiastic approach to the driving experience. The GT line never lets you down at any cost. 2. Driving experience - Driving experience of the Kia Seltos is absolutely a segment above or two. I have driven as well as had a ride in Audi a4, Mercedes Be...Read More"," Nov 23, 2019 ",By Dhairya Joshi,5.0,https://www.cardekho.com/user-review/kia-seltos/it-is-a-worthy-beast-94345.htm
